Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,1.4803030432252506,1.4803030432252506,1.463670253753662,1.463670253753662,407940,0.0,0.0
1962-01-03 00:00:00-05:00,1.4636700422487194,1.4764643907546997,1.4636700422487194,1.4764643907546997,305955,0.0,0.0
1962-01-04 00:00:00-05:00,1.4764643365073913,1.4764643365073913,1.4611111571529756,1.461750864982605,274575,0.0,0.0
1962-01-05 00:00:00-05:00,1.4598319860723967,1.4598319860723967,1.4304050400221997,1.4329639673233032,384405,0.0,0.0
1962-01-08 00:00:00-05:00,1.4316850502419902,1.4316850502419902,1.3945815915675517,1.406096339225769,572685,0.0,0.0
1962-01-09 00:00:00-05:00,1.4124924283538438,1.4406400443034808,1.4124924283538438,1.4227279424667358,517770,0.0,0.0
1962-01-10 00:00:00-05:00,1.4252864122390747,1.4316834872877964,1.4252864122390747,1.4252864122390747,313800,0.0,0.0
1962-01-11 00:00:00-05:00,1.4291257758861262,1.4406408071517944,1.4291257758861262,1.4406408071517944,337335,0.0,0.0
1962-01-12 00:00:00-05:00,1.4431989192962646,1.453434242280253,1.4431989192962646,1.4431989192962646,462855,0.0,0.0
1962-01-15 00:00:00-05:00,1.4483173699900385,1.4527955179749563,1.4483173699900385,1.449596881866455,266730,0.0,0.0
1962-01-16 00:00:00-05:00,1.448316028128883,1.448316028128883,1.4342423677444458,1.4342423677444458,266730,0.0,0.0
1962-01-17 00:00:00-05:00,1.4278466683270337,1.4278466683270337,1.4073757219332028,1.4112138748168943,439320,0.0,0.0
1962-01-18 00:00:00-05:00,1.4150508642196655,1.4291245237334431,1.4150508642196655,1.4150508642196655,392250,0.0,0.0
1962-01-19 00:00:00-05:00,1.4150513755214258,1.4188895258572636,1.3996981041266412,1.4163306951522827,423630,0.0,0.0
1962-01-22 00:00:00-05:00,1.4163308178880876,1.430404675149988,1.4124925714980032,1.4137719869613647,290265,0.0,0.0
1962-01-23 00:00:00-05:00,1.4131326479907778,1.4150517715566246,1.397139664443739,1.3996984958648682,392250,0.0,0.0
1962-01-24 00:00:00-05:00,1.3996987677050257,1.407375454902649,1.392661979930282,1.407375454902649,431475,0.0,0.0
1962-01-25 00:00:00-05:00,1.407375411068914,1.4188901543416774,1.3894633010351434,1.3920221328735352,337335,0.0,0.0
1962-01-26 00:00:00-05:00,1.392022235001776,1.3971399947757093,1.3843456432017174,1.3849854469299316,258885,0.0,0.0
1962-01-29 00:00:00-05:00,1.3849853039181874,1.3945810187469991,1.3613157272338867,1.3613157272338867,611910,0.0,0.0
1962-01-30 00:00:00-05:00,1.3613151725349744,1.3689917604143576,1.3440427780151367,1.3440427780151367,776655,0.0,0.0
1962-01-31 00:00:00-05:00,1.357477039147519,1.3869038820266724,1.357477039147519,1.3869038820266724,800190,0.0,0.0
1962-02-01 00:00:00-05:00,1.4009761037633244,1.4227265256629358,1.4009761037633244,1.4188880920410156,674670,0.0,0.0
1962-02-02 00:00:00-05:00,1.4188889295615474,1.427845120429993,1.4124918554875003,1.427845120429993,533460,0.0,0.0
1962-02-05 00:00:00-05:00,1.427846755008367,1.427846755008367,1.402258046532222,1.409934639930725,329490,0.0,0.0
1962-02-06 00:00:00-05:00,1.4101254735951405,1.4126846524902656,1.4050070200702314,1.4114049673080444,274575,0.000956,0.0
1962-02-07 00:00:00-05:00,1.412684202194214,1.4203619279016155,1.412684202194214,1.412684202194214,266730,0.0,0.0
1962-02-08 00:00:00-05:00,1.412686111287964,1.4203638473710023,1.412686111287964,1.4139657020568848,23535,0.0,0.0
1962-02-09 00:00:00-05:00,1.41396408228909,1.4242008924484253,1.4075661357736604,1.4242008924484253,455010,0.0,0.0
1962-02-12 00:00:00-05:00,1.4242009191100629,1.4357175102573752,1.422921425517672,1.425480604171753,298110,0.0,0.0
1962-02-13 00:00:00-05:00,1.4254821706226186,1.426761761355791,1.4024492502212524,1.4024492502212524,274575,0.0,0.0
1962-02-14 00:00:00-05:00,1.4024483871449638,1.4075668426624754,1.397329931627452,1.39988911151886,219660,0.0,0.0
1962-02-15 00:00:00-05:00,1.3998891012078234,1.3998891012078234,1.3934912472611238,1.3947707414627075,243195,0.0,0.0
1962-02-16 00:00:00-05:00,1.3947701657849965,1.3998885234175604,1.3934906721115112,1.3934906721115112,235350,0.0,0.0
1962-02-19 00:00:00-05:00,1.393491867424334,1.3998897242183523,1.3768568079106167,1.3794159889221191,298110,0.0,0.0
1962-02-20 00:00:00-05:00,1.3800543546676636,1.3870920946711545,1.3800543546676636,1.3800543546676636,305955,0.0,0.0
1962-02-21 00:00:00-05:00,1.3800563214856896,1.389653349084318,1.369819402694702,1.369819402694702,384405,0.0,0.0
1962-02-23 00:00:00-05:00,1.3717374857927396,1.3768559403252385,1.3717374857927396,1.3742966651916504,305955,0.0,0.0
1962-02-26 00:00:00-05:00,1.374296175271528,1.375575955984112,1.366618544077102,1.3691778182983398,313800,0.0,0.0
1962-02-27 00:00:00-05:00,1.3691786577358265,1.3806952551902063,1.3615010218342751,1.3717378377914429,368715,0.0,0.0
1962-02-28 00:00:00-05:00,1.3717374857927396,1.3742966651916504,1.3640598518613305,1.3742966651916504,282420,0.0,0.0
1962-03-01 00:00:00-05:00,1.3794147762427065,1.3909313678741455,1.3794147762427065,1.3909313678741455,298110,0.0,0.0
1962-03-02 00:00:00-05:00,1.4024492502212524,1.4101268903550412,1.4024492502212524,1.4024492502212524,258885,0.0,0.0
1962-03-05 00:00:00-05:00,1.4024477837596985,1.4024477837596985,1.3922108771289736,1.397329330444336,376560,0.0,0.0
1962-03-06 00:00:00-05:00,1.3973300716147996,1.4037280219842787,1.3947708914670078,1.3986097574234009,196125,0.0,0.0
1962-03-07 00:00:00-05:00,1.3986077458473547,1.4030863046646118,1.3947688854122808,1.4030863046646118,133365,0.0,0.0
1962-03-08 00:00:00-05:00,1.4030887896208972,1.406287670135498,1.3947713556378805,1.406287670135498,196125,0.0,0.0
1962-03-09 00:00:00-05:00,1.4075668247944384,1.415244460105896,1.4075668247944384,1.415244460105896,305955,0.0,0.0
1962-03-12 00:00:00-05:00,1.4152453885605627,1.419084065132567,1.4101269297501229,1.4139657020568848,298110,0.0,0.0
1962-03-13 00:00:00-05:00,1.4139637912339047,1.4139637912339047,1.4075658460354503,1.412684202194214,133365,0.0,0.0
1962-03-14 00:00:00-05:00,1.412685270063647,1.416524040084502,1.4075669100358403,1.4101260900497437,211815,0.0,0.0
1962-03-15 00:00:00-05:00,1.4101263238785162,1.4178039609280413,1.4075671434402466,1.4075671434402466,258885,0.0,0.0
1962-03-16 00:00:00-05:00,1.407567748212282,1.4139657020568848,1.407567748212282,1.4139657020568848,172590,0.0,0.0
1962-03-19 00:00:00-05:00,1.416524316770231,1.422922459524122,1.416524316770231,1.4178040027618408,392250,0.0,0.0
1962-03-20 00:00:00-05:00,1.415243801208579,1.415243801208579,1.4088456630706787,1.4088456630706787,172590,0.0,0.0
1962-03-21 00:00:00-05:00,1.4088464043080915,1.412685270063647,1.4050076342872364,1.4101260900497437,274575,0.0,0.0
1962-03-22 00:00:00-05:00,1.4050075566876346,1.4050075566876346,1.3947707414627075,1.3947707414627075,251040,0.0,0.0
1962-03-23 00:00:00-05:00,1.396050437416444,1.4024483871449638,1.396050437416444,1.39988911151886,196125,0.0,0.0
1962-03-26 00:00:00-05:00,1.3998900643444816,1.4050085233458376,1.397330882711184,1.3992502689361572,141210,0.0,0.0
1962-03-27 00:00:00-05:00,1.3960499473442285,1.3960499473442285,1.3717372682371465,1.3730169534683228,368715,0.0,0.0
1962-03-28 00:00:00-05:00,1.3742971052674329,1.3845340176104823,1.3742971052674329,1.380695343017578,345180,0.0,0.0
1962-03-29 00:00:00-05:00,1.3806940932861955,1.3870919423065131,1.3768551349639893,1.3768551349639893,243195,0.0,0.0
1962-03-30 00:00:00-05:00,1.37429579995498,1.37429579995498,1.3570211584188416,1.3634192943572998,462855,0.0,0.0
1962-04-02 00:00:00-05:00,1.3627797377479391,1.3627797377479391,1.3448652029037476,1.3448652029037476,392250,0.0,0.0
1962-04-03 00:00:00-05:00,1.3435863536302382,1.3435863536302382,1.2975204531861346,1.3115960359573364,957090,0.0,0.0
1962-04-04 00:00:00-05:00,1.3115955680149636,1.3231121586855263,1.3058375120162964,1.3058375120162964,682515,0.0,0.0
1962-04-05 00:00:00-05:00,1.3128753909559412,1.333349108695984,1.3128753909559412,1.333349108695984,957090,0.0,0.0
1962-04-06 00:00:00-05:00,1.3333494400617143,1.3435863493431537,1.3231126265149546,1.332069754600525,455010,0.0,0.0
1962-04-09 00:00:00-05:00,1.3320694235528234,1.3397470557385076,1.3231122976932903,1.333349108695984,23535,0.0,0.0
1962-04-10 00:00:00-05:00,1.333348788195219,1.3384672403335571,1.3256711578550284,1.3384672403335571,274575,0.0,0.0
