Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-07-09 00:00:00-04:00,7.140090920708396,7.390620426698164,7.056581085378474,7.348865509033203,1116800,0.0,0.0
1986-07-10 00:00:00-04:00,7.390619659423828,7.432374572753906,7.140090179443359,7.307109832763672,595600,0.0,0.0
1986-07-11 00:00:00-04:00,7.265354624866734,7.3071095365039,7.056580066680908,7.056580066680908,800400,0.0,0.0
1986-07-14 00:00:00-04:00,7.098335958108669,7.098335958108669,6.764296618903556,6.847806453704834,738000,0.0,0.0
1986-07-15 00:00:00-04:00,6.806049113003713,6.806049113003713,6.221480477531002,6.639029502868652,2059200,0.0,0.0
1986-07-16 00:00:00-04:00,6.63903084507695,7.0148250438548905,6.63903084507695,6.76429557800293,1160400,0.0,0.0
1986-07-17 00:00:00-04:00,6.764295390778524,6.847805210417765,6.680785571139283,6.8060503005981445,1046000,0.0,0.0
1986-07-18 00:00:00-04:00,6.806051536304195,6.910438829805793,6.680786784102278,6.847806453704834,1420000,0.0,0.0
1986-07-21 00:00:00-04:00,6.847806453704834,6.889561371105473,6.806051536304195,6.847806453704834,322800,0.0,0.0
1986-07-22 00:00:00-04:00,6.847805210417765,6.868682665327575,6.8060503005981445,6.8060503005981445,390800,0.0,0.0
1986-07-23 00:00:00-04:00,6.8478080204554965,6.8478080204554965,6.680788312639509,6.722543239593506,1004000,0.0,0.0
1986-07-24 00:00:00-04:00,6.722539307936183,6.764294210469948,6.555519697801123,6.639029502868652,1071600,0.0,0.0
1986-07-25 00:00:00-04:00,6.639033385685512,6.764298166547502,6.597278458731514,6.722543239593506,688400,0.0,0.0
1986-07-28 00:00:00-04:00,6.722540667027603,6.847805399953583,6.659908300564613,6.76429557800293,414800,0.0,0.0
1986-07-29 00:00:00-04:00,6.680785571139283,6.8060503005981445,6.680785571139283,6.8060503005981445,278400,0.0,0.0
1986-07-30 00:00:00-04:00,6.722540667027603,6.76429557800293,6.597275934101623,6.76429557800293,459200,0.0,0.0
1986-07-31 00:00:00-04:00,6.764298166547502,6.8478080204554965,6.680788312639509,6.722543239593506,1213600,0.0,0.0
1986-08-01 00:00:00-04:00,6.680785448123247,6.764295266224789,6.513765811920166,6.513765811920166,1118000,0.0,0.0
1986-08-04 00:00:00-04:00,6.555520720970937,6.555520720970937,6.367623630242471,6.513765811920166,892400,0.0,0.0
1986-08-05 00:00:00-04:00,6.513766868441713,6.513766868441713,6.346747205148335,6.38850212097168,868800,0.0,0.0
1986-08-06 00:00:00-04:00,6.388503538419122,6.430258463506829,6.096219062805176,6.096219062805176,550400,0.0,0.0
