ticker,rows,first_ts,last_ts
W,508103,2020-12-14 15:51:00+00:00,2026-04-30 13:53:00+00:00
WYNN,507677,2020-12-31 15:56:00+00:00,2026-04-30 13:52:00+00:00
ALK,506637,2020-12-30 20:41:00+00:00,2026-04-30 13:45:00+00:00
FDX,505601,2020-12-21 14:56:00+00:00,2026-04-30 13:46:00+00:00
HLT,505076,2020-12-15 15:19:00+00:00,2026-04-30 13:49:00+00:00
COST,505072,2020-12-29 14:33:00+00:00,2026-04-30 13:43:00+00:00
GOOGL,504944,2020-12-18 18:28:00+00:00,2026-04-30 13:41:00+00:00
CP,501224,2020-12-07 16:08:00+00:00,2026-04-30 13:46:00+00:00
MAR,500037,2020-12-29 19:46:00+00:00,2026-04-30 13:48:00+00:00
YUM,499958,2020-12-15 19:27:00+00:00,2026-04-30 13:47:00+00:00
KNX,498496,2020-12-31 14:45:00+00:00,2026-04-30 13:50:00+00:00
QSR,498077,2020-12-16 17:28:00+00:00,2026-04-30 13:53:00+00:00
SPG,497608,2020-12-28 15:52:00+00:00,2026-04-30 13:55:00+00:00
DE,496645,2020-12-22 17:45:00+00:00,2026-04-30 13:56:00+00:00
WM,496567,2020-12-23 19:12:00+00:00,2026-04-30 13:57:00+00:00
RBLX,495896,2021-03-18 13:30:00+00:00,2026-04-30 13:58:00+00:00
DLR,492326,2020-12-22 16:39:00+00:00,2026-04-30 13:55:00+00:00
ZIM,491232,2021-02-04 14:30:00+00:00,2026-04-30 13:47:00+00:00
CNI,491090,2020-12-28 17:09:00+00:00,2026-04-30 13:46:00+00:00
CME,490807,2020-12-28 14:47:00+00:00,2026-04-30 13:59:00+00:00
COIN,490460,2021-04-14 13:31:00+00:00,2026-04-30 13:59:00+00:00
SCCO,488054,2020-12-10 20:37:00+00:00,2026-04-30 13:51:00+00:00
IAG,486653,2020-12-10 17:07:00+00:00,2026-04-30 13:44:00+00:00
XPO,483283,2020-12-21 15:35:00+00:00,2026-04-30 13:50:00+00:00
DRI,482806,2020-12-23 19:43:00+00:00,2026-04-30 13:52:00+00:00
NSC,481128,2020-12-11 16:50:00+00:00,2026-04-30 13:45:00+00:00
RSG,466478,2020-12-31 14:51:00+00:00,2026-04-30 13:56:00+00:00
LCID,459375,2021-08-02 13:30:00+00:00,2026-04-30 13:51:00+00:00
TXRH,452513,2020-12-14 17:11:00+00:00,2026-04-30 13:53:00+00:00
ODFL,448412,2020-12-18 19:35:00+00:00,2026-04-30 13:50:00+00:00
SQ,435390,2020-12-22 20:45:00+00:00,2026-04-29 19:59:00+00:00
RIVN,432770,2021-11-10 14:41:00+00:00,2026-04-30 13:50:00+00:00
ULCC,428560,2021-06-01 13:30:00+00:00,2026-04-30 13:43:00+00:00
JBHT,428202,2020-12-14 18:56:00+00:00,2026-04-30 13:50:00+00:00
H,422412,2020-12-10 18:16:00+00:00,2026-04-30 13:54:00+00:00
DPZ,398011,2020-12-23 17:51:00+00:00,2026-04-30 13:54:00+00:00
PL,397447,2021-12-13 14:30:00+00:00,2026-04-30 13:50:00+00:00
RYAAY,386413,2020-12-18 20:17:00+00:00,2026-04-30 13:44:00+00:00
CEG,386386,2022-04-11 13:30:00+00:00,2026-04-30 13:57:00+00:00
EQIX,357614,2020-12-17 14:50:00+00:00,2026-04-30 13:54:00+00:00
CMG,340089,2020-11-19 16:56:00+00:00,2026-04-30 13:48:00+00:00
SKYW,339704,2020-12-21 18:11:00+00:00,2026-04-30 13:45:00+00:00
SNCY,337377,2021-06-01 13:30:00+00:00,2026-04-30 13:45:00+00:00
BKSY,334656,2021-09-17 13:30:00+00:00,2026-04-30 13:50:00+00:00
BKNG,305003,2020-12-23 16:32:00+00:00,2026-04-30 13:49:00+00:00
LSTR,297721,2020-12-08 18:34:00+00:00,2026-04-30 13:45:00+00:00
SPIR,297235,2020-07-22 17:20:00+00:00,2026-04-30 13:52:00+00:00
MATX,287924,2020-12-14 17:07:00+00:00,2026-04-30 13:30:00+00:00
ALGT,279827,2020-12-29 18:07:00+00:00,2026-04-30 13:43:00+00:00
