m,mean_ret_bps,std_ret_bps,mean_vol
0,2.7320955882583453,72.44915304302405,2880156.5597014925
1,-0.12292632703876438,16.186922705521784,423853.16619981325
2,-0.791826090833535,14.245649945748552,389800.2007469655
3,-0.10769057266618208,13.370029765479662,362156.9579831933
4,-0.905636942771661,12.13137615892441,341215.4239028945
5,0.16752694631759107,11.640866783733872,356206.2913165266
6,0.36399912710844873,11.336975934198827,336301.0130718954
7,-0.06487274472729464,10.246867784795665,310863.9225023343
8,0.31498278776591,10.032181189425554,301657.593837535
9,0.022327632925658675,9.769178447468681,291546.87021475256
10,-0.8395537706056512,9.791229038095233,310550.2418300654
11,0.8313251765463663,8.973113854018841,281323.6806722689
12,0.21619705245837045,8.875958744016945,275126.3893557423
13,-0.48617029724685773,8.950046810492985,272012.7254901961
14,-0.23970205310456505,8.147665001136042,270202.2614379085
15,0.7064930355855682,9.14208838043615,299813.58263305324
16,0.45910294264589013,9.359830725593037,280178.153271028
17,0.24781242842346535,8.562256701102527,260125.01401869158
18,0.4067590170403458,8.550306460716737,259156.34672897196
19,-0.6016462665107624,8.283760438887516,318693.29803186504
20,-0.21518428699046632,8.59867877379174,332685.8139097744
21,0.2969845075976326,7.951537382654069,268302.09962406015
22,0.1549578795123953,7.708733879549292,304956.7603383459
23,-0.5601333149262879,7.857639013864145,255331.62781954888
24,-0.2472399940581238,7.382272827400474,239505.20958646617
25,0.540653679953545,7.4897191307590845,240294.22462406015
26,0.4099277119517313,7.44647197575947,232446.86372180452
27,0.513093893854245,6.701435084335531,222433.9417293233
28,0.36857599248191897,6.505050796570676,218155.4069548872
29,0.937242032940151,6.410172364932565,228364.38345864663
30,-0.3646307495016392,9.489491286486528,318217.8834586466
31,-0.29177745847721104,8.135815142672705,213121.79229323307
32,-0.34564265944647443,7.198573749599884,225855.25563909774
33,-0.12007749301751464,6.843093179195726,207142.96616541353
34,0.3444900603045704,6.901521671096206,204983.61372180452
35,-0.17851836267991167,7.164709380109909,216919.58458646617
36,-0.23810267896494197,6.865764261823657,208556.66917293234
37,-0.26867382072579055,6.742709807189405,241831.55357142858
38,-0.06407051144405798,6.7662553803918275,201398.12406015038
39,-0.26029610929258784,6.46894609138605,194430.21112158342
40,0.6528354617828808,6.972249250510621,205413.39679547597
41,-0.10706174940491182,6.861075169051952,202047.91226415095
42,0.2756569126550578,7.0128558294634535,198811.0858490566
43,0.3976154615651739,6.234985757216475,187048.62169811322
44,-0.11262477378759726,6.365848330192751,188200.31698113208
45,-0.044508381558537494,6.669755156514471,206737.98016997168
46,0.414420252117617,6.659083909164384,199605.11814744803
47,0.3223431042788516,6.45265050027403,182148.94139886578
48,-0.0891028897920212,6.45486210096669,184866.25897920606
49,0.145542188279257,6.0013370958677275,183749.08128544423
50,-0.07407784600643247,6.222114813365854,188908.79489603025
51,0.19096578333917202,6.4827042227746166,179543.12665406428
52,0.11381209947369167,6.112398587539942,182595.49716446124
53,0.11783709019741188,6.040342621372177,171094.6899810964
54,0.0036691333520615828,5.891768870153162,176632.7438563327
55,-0.4561649360335127,5.874567974372107,176712.84215500945
56,-0.014481808560451028,5.871433511139254,174956.9508506616
57,-0.24146088002368302,5.6962171101605374,172061.30623818527
58,-0.10587689978334752,5.766703212849096,170558.86389413988
59,-0.2494707010034413,5.9591204520906285,167899.44938505202
60,0.019217883298875367,6.609884431407688,187788.04545454544
61,0.007591122492915195,5.748842756718001,169180.41193181818
62,-0.10302263166444778,5.84901510200009,171959.66761363635
63,0.11184726091987088,5.61924400956307,163503.76420454544
64,-0.21479300314280564,5.385539791549805,159483.07386363635
65,-0.07311270222979994,5.495131348309348,168353.80587121213
66,-0.4347232706602672,5.800154506273466,167461.87121212122
67,0.44669254201853403,5.549393141430835,218871.5634469697
