,sharpe,sortino,maxDD,cagr,totret,annvol,alpha,beta,exposure,turn/day
IS_strat,0.3880090929868326,0.38774718580721235,0.2831389423341912,0.11188413644482864,0.5506906190009064,0.25251613653147825,0.005289390317617754,0.8542847350229099,0.9288289403236806,0.007129147485593599
IS_bh,0.3968873029761583,0.3978275876189929,0.34886290777342294,0.11965756241051606,0.5960294231497183,0.290444397260644,-4.849513767218077e-05,1.0000015673871798,0.9999975401871918,0.0009328358208955224
OOS_strat,1.164310289543501,1.235201641629092,0.15548465207040504,0.3145827773187111,0.30928125929903283,0.22163102505821963,0.05291434220603708,0.8956564290293126,0.9353869984352855,0.007339592990578603
OOS_bh,0.9556355444836754,1.0052495699241153,0.1554846520704027,0.27613105202590793,0.2715421688390638,0.2445396881659944,-4.162319902807632e-17,1.0000000000000002,1.0,0.0
