label,interval,threshold,strat_sharpe,strat_sortino,strat_max_drawdown,strat_cagr,strat_calmar,strat_ann_return,strat_ann_vol,strat_total_return,strat_final_capital,strat_n_trades,strat_exposure,strat_avg_holding_min,strat_trades_per_day,strat_turnover_per_day,strat_n_days,strat_alpha_ann,strat_beta,bh_sharpe,bh_sortino,bh_max_drawdown,bh_cagr,bh_calmar,bh_ann_return,bh_ann_vol,bh_total_return,bh_final_capital,bh_n_trades,bh_exposure,bh_avg_holding_min,bh_trades_per_day,bh_turnover_per_day,bh_n_days,bh_alpha_ann,bh_beta,sharpe_edge,dd_ok,beats_bh,exposure,auc,effective_n,n_labelled,pbo
1min@0.50,1min,0.5,-61.911340222671,-59.86245113012522,1.0,-0.9999999698164828,-0.9999999698164828,-17.275314957594244,0.2796792137808324,-1.0,9.473828315338877e-27,24043,0.7417952929917768,12.508921515617851,22.44911297852474,44.89822595704948,1071,-17.37791952300334,0.6473875712018523,0.40633542216831786,0.40757199677473227,0.3488629077734285,0.12275908671077862,0.35188345901910956,0.1580832820805516,0.2906054349148986,0.6123117598125671,161231.1759812567,1,0.9999975335316373,405437.0,0.0009337068160597573,0.0009337068160597573,1071,-0.00034190188915034366,1.0000077143905794,-62.31767564483932,False,False,0.7417952929917768,0.5027339147895595,68405.22605324734,405438,0.0
1min@0.52,1min,0.52,-40.44654648913906,-45.86098792332433,0.9999999999756854,-0.9973264662377868,-0.9973264662620362,-5.9133244353263565,0.14718993219668278,-0.9999999999756856,2.431445164018295e-06,8259,0.04944775773361155,2.4274125196755056,7.711484593837535,15.42296918767507,1071,-5.937515006686199,0.1526027156312378,0.40633542216831786,0.40757199677473227,0.3488629077734285,0.12275908671077862,0.35188345901910956,0.1580832820805516,0.2906054349148986,0.6123117598125671,161231.1759812567,1,0.9999975335316373,405437.0,0.0009337068160597573,0.0009337068160597573,1071,-0.00034190188915034366,1.0000077143905794,-40.85288191130738,False,False,0.04944775773361155,0.5027339147895595,68405.22605324734,405438,0.0
1min@0.55,1min,0.55,-13.780161291881178,-16.585586786912135,0.9907455292110576,-0.6784599462116091,-0.6847973835944279,-1.1310030390497732,0.08497745521597705,-0.9907278756580337,927.2124341966302,1628,0.010672408605014824,2.657862407862408,1.5200746965452847,3.0401493930905694,1071,-1.1412778542721267,0.06483867865034382,0.40633542216831786,0.40757199677473227,0.3488629077734285,0.12275908671077862,0.35188345901910956,0.1580832820805516,0.2906054349148986,0.6123117598125671,161231.1759812567,1,0.9999975335316373,405437.0,0.0009337068160597573,0.0009337068160597573,1071,-0.00034190188915034366,1.0000077143905794,-14.186496714049497,False,False,0.010672408605014824,0.5027339147895595,68405.22605324734,405438,0.0
1min@0.58,1min,0.58,-8.811658679776123,-11.887509800570564,0.8671840608242581,-0.3869354484085503,-0.4461976019724905,-0.4875011460734015,0.059864001233284704,-0.8671407653282053,13285.923467179475,727,0.0037786295315189993,2.107290233837689,0.6788048552754435,1.357609710550887,1071,-0.4926885482969523,0.03273612773398425,0.40633542216831786,0.40757199677473227,0.3488629077734285,0.12275908671077862,0.35188345901910956,0.1580832820805516,0.2906054349148986,0.6123117598125671,161231.1759812567,1,0.9999975335316373,405437.0,0.0009337068160597573,0.0009337068160597573,1071,-0.00034190188915034366,1.0000077143905794,-9.217994101944441,False,False,0.0037786295315189993,0.5027339147895595,68405.22605324734,405438,0.0
5min@0.50,5min,0.5,-13.592183298613708,-14.732722283715074,0.999999039420458,-0.966292325941573,-0.9662932541431045,-3.3585097311771874,0.2500341303905022,-0.999999039420458,0.09605795419674668,4833,0.7461848689287759,12.40368301262156,4.512605042016807,9.025210084033613,1071,-3.4695340200925577,0.6807483500479707,0.4239071426927206,0.42072673153724466,0.34839991535988973,0.12835254009482,0.3684057728953078,0.16267141663696724,0.2893827545762527,0.6381453092756766,163814.53092756766,1,0.9999875525903059,80337.0,0.0009337068160597573,0.0009337068160597573,1071,-0.0003572447386660743,1.0000034871782397,-14.01609044130643,False,False,0.7461848689287759,0.5065542089129527,13874.853629744717,80338,0.0
5min@0.52,5min,0.52,-22.263315593662192,-26.071509664875016,0.9999995019327644,-0.9712962351583483,-0.97129671892942,-3.537497314975744,0.16069023052407197,-0.9999995019327644,0.049806723561294106,4999,0.2802534292613707,4.503900780156031,4.667600373482727,9.335200746965453,1071,-3.5775656456329363,0.24550247518434914,0.4239071426927206,0.42072673153724466,0.34839991535988973,0.12835254009482,0.3684057728953078,0.16267141663696724,0.2893827545762527,0.6381453092756766,163814.53092756766,1,0.9999875525903059,80337.0,0.0009337068160597573,0.0009337068160597573,1071,-0.0003572447386660743,1.0000034871782397,-22.68722273635491,False,False,0.2802534292613707,0.5065542089129527,13874.853629744717,80338,0.0
5min@0.55,5min,0.55,-12.609914930606598,-15.83024371788334,0.9934276036541192,-0.7069125864971665,-0.7115894342948936,-1.2222372156993828,0.10009878913898931,-0.9933700399279856,662.996007201443,1785,0.05627473922676691,2.5327731092436974,1.6666666666666667,3.3333333333333335,1071,-1.238183591802722,0.09771913588147829,0.4239071426927206,0.42072673153724466,0.34839991535988973,0.12835254009482,0.3684057728953078,0.16267141663696724,0.2893827545762527,0.6381453092756766,163814.53092756766,1,0.9999875525903059,80337.0,0.0009337068160597573,0.0009337068160597573,1071,-0.0003572447386660743,1.0000034871782397,-13.03382207329932,False,False,0.05627473922676691,0.5065542089129527,13874.853629744717,80338,0.0
5min@0.58,5min,0.58,-7.767785700705471,-10.245428734098715,0.9149955138308233,-0.4518043029500123,-0.4937776154316183,-0.5977512563352503,0.08210206626546478,-0.9143006124975109,8569.938750248904,869,0.02439692300032363,2.2554660529344073,0.811391223155929,1.622782446311858,1071,-0.6086861702798296,0.0670273293656845,0.4239071426927206,0.42072673153724466,0.34839991535988973,0.12835254009482,0.3684057728953078,0.16267141663696724,0.2893827545762527,0.6381453092756766,163814.53092756766,1,0.9999875525903059,80337.0,0.0009337068160597573,0.0009337068160597573,1071,-0.0003572447386660743,1.0000034871782397,-8.191692843398192,False,False,0.02439692300032363,0.5065542089129527,13874.853629744717,80338,0.0
15min@0.50,15min,0.5,-4.190216683670079,-4.545273714307212,0.9865935594473471,-0.653169542877424,-0.6620452126641747,-1.0263486029040663,0.25448531267124946,-0.9853440525947162,1465.5947405283807,1643,0.7755367599219258,12.33353621424224,1.5355140186915888,3.0710280373831775,1070,-1.1444036553025112,0.7321112869084228,0.41719748797684253,0.41015975438997965,0.34492436663557763,0.12626663817785677,0.36607050817972814,0.16118939715216393,0.29048448431427504,0.6067274782322176,160672.74782322175,1,0.9999617283478128,26128.0,0.0009345794392523365,0.0009345794392523365,1070,-3.6560296058783435e-06,0.9999999942664535,-4.607414171646922,False,False,0.775575031574113,0.4984500190218431,5350.446998750471,26129,0.0
15min@0.52,15min,0.52,-8.45038355859516,-10.951580554797422,0.9956987539212617,-0.7396025459219207,-0.7427975007593585,-1.3322643157821041,0.16239077271070487,-0.9953270317608712,467.2968239128773,1923,0.2780435531401891,3.777951118044722,1.797196261682243,3.594392523364486,1070,-1.3787638604358259,0.2881437874648584,0.41719748797684253,0.41015975438997965,0.34492436663557763,0.12626663817785677,0.36607050817972814,0.16118939715216393,0.29048448431427504,0.6067274782322176,160672.74782322175,1,0.9999617283478128,26128.0,0.0009345794392523365,0.0009345794392523365,1070,-3.6560296058783435e-06,0.9999999942664535,-8.867581046572003,False,False,0.2780435531401891,0.4984500190218431,5350.446998750471,26129,0.0
