label,threshold,sizing,periods_per_year,symbol,cost_label,round_trip_bps,strat_sharpe_ratio,strat_sortino_ratio,strat_max_drawdown,strat_cagr,strat_calmar_ratio,strat_win_rate,strat_profit_factor,strat_total_trades,strat_initial_capital,strat_final_capital,strat_total_return,strat_periods_per_year,strat_alpha,strat_beta,strat_exposure,strat_n_entries,strat_trades_per_day,strat_turnover_per_day,strat_n_days,bh_sharpe_ratio,bh_sortino_ratio,bh_max_drawdown,bh_cagr,bh_calmar_ratio,bh_win_rate,bh_profit_factor,bh_total_trades,bh_initial_capital,bh_final_capital,bh_total_return,bh_periods_per_year,bh_alpha,bh_beta,bh_exposure,bh_n_entries,bh_trades_per_day,bh_turnover_per_day,bh_n_days,sharpe_edge,beats_benchmark
AAPL/frictionless,0.5,binary,98280,AAPL,frictionless,0.0,1.3634112002421241,1.7214690414409306,0.144400863764466,0.32041341175754257,2.218916171306099,0.0,0.0,0,100000.0407000407,140643.3384992431,0.406432812573704,98280,0.27111575188951215,0.3741678877450747,0.1792348004908952,1044,3.356913183279743,6.713826366559486,311.0,0.08226836200202348,0.08311436504829721,0.32232232232231894,0.01838345572429656,0.05703438592724365,0.0,0.0,0,100000.0407000407,102260.49805324902,0.022604564332016297,98280,2.0936469111122388e-14,1.0000000000000004,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,1.2811428382401007,True
AAPL/ultra_low_1bp,0.5,binary,98280,AAPL,ultra_low_1bp,2.0,0.45535564019461305,0.5826072471726191,0.15949569525766755,0.11379992114966031,0.7134983860587267,0.0,0.0,0,100000.0407000407,114139.41890984685,0.14139372455075816,98280,0.10095316101356797,0.3741543626782263,0.1792348004908952,1044,3.356913183279743,6.713826366559486,311.0,0.08200220540886473,0.082845311029305,0.32232232232231395,0.018300280576646344,0.05677633632319929,0.0,0.0,0,100000.0407000407,102250.24970494898,0.022502080890726583,98280,-8.161913036270168e-05,1.000001889638621,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,0.37335343478574834,True
AAPL/low_2bp,0.5,binary,98280,AAPL,low_2bp,4.0,-0.4522098648307061,-0.5758972934220424,0.18253895532568862,-0.060499431041772245,-0.33143298609235655,0.0,0.0,0,100000.0407000407,92628.16871130452,-0.07371868988382502,98280,-0.06920942986256913,0.37414083761137673,0.1792348004908952,1044,3.356913183279743,6.713826366559486,311.0,0.08173604274879728,0.08257624474141997,0.3223223223223194,0.01821710388636477,0.056518281933163265,0.0,0.0,0,100000.0407000407,102240.00135665256,0.022399597449473285,98280,-0.00016323826071737007,1.0000037792772376,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-0.5339459075795033,False
AAPL/mid_5bp,0.5,binary,98280,AAPL,mid_5bp,10.0,-3.1591363277262223,-3.9722382395848177,0.5166778796903454,-0.43620362523395095,-0.8442467587259123,0.0,0.0,0,100000.0407000407,49500.65035646032,-0.5049936979031633,98280,-0.5796972024907062,0.37410026241083083,0.1792348004908952,1044,3.356913183279743,6.713826366559486,311.0,0.08093751906068974,0.08176897367006612,0.32232232232232116,0.017967564557745064,0.055744090040954604,0.0,0.0,0,100000.0407000407,102209.25631176645,0.0220921471257447,98280,-0.00040809565175670316,1.0000094481930974,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-3.240073846786912,False
AAPL/high_10bp,0.5,binary,98280,AAPL,high_10bp,20.0,-7.545309350304509,-9.259637227907627,0.8286131892886417,-0.7593700384257789,-0.9164348917468866,0.0,0.0,0,100000.0407000407,17413.085097434072,-0.8258692198969577,98280,-1.4305101568710574,0.37403263707658674,0.1792348004908952,1044,3.356913183279743,6.713826366559486,311.0,0.07960653138507884,0.08042328963077257,0.3223223223223137,0.017551634806317606,0.05445367444568869,0.0,0.0,0,100000.0407000407,102158.01457028229,0.021579729919457113,98280,-0.0008161913035472563,1.000018896386192,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-7.624915881689589,False
AAPL/lab_default_15bp,0.5,binary,98280,AAPL,lab_default_15bp,30.0,-11.662032650172009,-13.90104694586694,0.9394832250698455,-0.8973421865427945,-0.955144448136455,0.0,0.0,0,100000.0407000407,6122.282879390629,-0.9387771961237998,98280,-2.2813231112513965,0.3739650117423437,0.1792348004908952,1044,3.356913183279743,6.713826366559486,311.0,0.07827540765274453,0.07907733051681332,0.3223223223223209,0.017135666447007702,0.05316313907006451,0.0,0.0,0,100000.0407000407,102106.77282878793,0.021067312713067388,98280,-0.0012242869554192452,1.0000283445792892,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-11.740308057824754,False
MSFT/frictionless,0.5,binary,98280,MSFT,frictionless,0.0,-0.22194674390847033,-0.2695267708219847,0.11704337834688824,0.00701595390606391,0.05994319375565459,0.0,0.0,0,100000.0407000407,100861.60037694353,0.008615593262478294,98280,0.026237353614357754,0.17041393356053658,0.11779388350802707,653,2.09967845659164,4.19935691318328,311.0,-0.39453598015762403,-0.39670225550711036,0.35495137470794896,-0.10670884758803512,-0.30062948108268145,0.0,0.0,0,100000.0407000407,87069.77275670473,-0.129302626807138,98280,6.489056728477098e-14,1.0000000000000002,0.9999917075759586,1,0.003215434083601286,0.003215434083601286,311.0,0.1725892362491537,True
MSFT/ultra_low_1bp,0.5,binary,98280,MSFT,ultra_low_1bp,2.0,-1.126762460839274,-1.3909643432909968,0.1743892966247222,-0.0946652495222251,-0.5428386452291301,0.0,0.0,0,100000.0407000407,88512.372427822,-0.11487663596734932,98280,-0.0801989063966109,0.17042687803998127,0.11779388350802707,653,2.09967845659164,4.19935691318328,311.0,-0.39482280463143266,-0.3969899713221087,0.35495137470796057,-0.10678152152693632,-0.3008342244477621,0.0,0.0,0,100000.0407000407,87061.08110294891,-0.12938954330932106,98280,-8.162685882471796e-05,0.9999982280060389,0.9999917075759586,1,0.003215434083601286,0.003215434083601286,311.0,-0.7319396562078413,False
MSFT/low_2bp,0.5,binary,98280,MSFT,low_2bp,4.0,-2.02931428468021,-2.4802793216933914,0.2734541867351136,-0.1860880836774551,-0.6805091774210527,0.0,0.0,0,100000.0407000407,77674.13669030156,-0.22325894923090817,98280,-0.18663516640771274,0.17043982251942508,0.11779388350802707,653,2.09967845659164,4.19935691318328,311.0,-0.3951095903978735,-0.3972776871364082,0.3549513747079172,-0.10685419680805808,-0.3010389715943103,0.0,0.0,0,100000.0407000407,87052.38944921426,-0.12947645981129263,98280,-0.0001632537175164082,0.9999964560120772,0.9999917075759586,1,0.003215434083601286,0.003215434083601286,311.0,-1.6342046942823365,False
MSFT/mid_5bp,0.5,binary,98280,MSFT,mid_5bp,10.0,-4.703280340040022,-5.623208727844076,0.5049001972838701,-0.40863678558477357,-0.8093417031386613,0.0,0.0,0,100000.0407000407,52487.96629549446,-0.47512055067120496,98280,-0.5059439464408468,0.17047865595775777,0.11779388350802707,653,2.09967845659164,4.19935691318328,311.0,-0.3959697145920398,-0.398140834582195,0.35495137470797283,-0.10707223070812666,-0.3016532357318452,0.0,0.0,0,100000.0407000407,87026.31448792285,-0.12973720931808153,98280,-0.0004081342944096765,0.9999911400301954,0.9999917075759586,1,0.003215434083601286,0.003215434083601286,311.0,-4.3073106254479825,False
