span,target_q,cost,strat_sharpe,bh_sharpe,edge,strat_maxDD,bh_maxDD,dd_ok,strat_totret,bh_totret,exposure,turn/day,beats_bh
5,0.5,low_2bp,0.4235984995481808,0.3968873029761583,0.026711196572022478,0.25895882051618513,0.3488629077734229,True,0.5868162547368536,0.5960287735653578,0.8867098807157623,0.026174822799846516,True
5,0.5,lab_15bp,0.3858445449115093,0.3957999666701463,-0.009955421758636951,0.2682848222064198,0.3488629077734293,True,0.5299784069394864,0.5939478325969956,0.8867098807157623,0.026174822799846516,False
5,0.7,low_2bp,0.39289424696330927,0.3968873029761583,-0.00399305601284905,0.29548527269795266,0.3488629077734229,True,0.561455154595411,0.5960287735653578,0.9424936816487355,0.018051967210469113,False
5,0.7,lab_15bp,0.36914000198065133,0.3957999666701463,-0.02665996468949494,0.30313696417560637,0.3488629077734293,True,0.5226656288160465,0.5939478325969956,0.9424936816487355,0.018051967210469113,False
5,0.85,low_2bp,0.38500446904523855,0.3968873029761583,-0.011882833930919767,0.31355273837722036,0.3488629077734229,True,0.5605219536248931,0.5960287735653578,0.9759905881130632,0.011384732858603697,False
5,0.85,lab_15bp,0.3708909207884011,0.3957999666701463,-0.024909045881745195,0.3141827781942788,0.3488629077734293,True,0.5359648178529728,0.5939478325969956,0.9759905881130632,0.011384732858603697,False
5,0.95,low_2bp,0.38210795127004277,0.3968873029761583,-0.014779351706115551,0.323624815948945,0.3488629077734229,True,0.5616928193080224,0.5960287735653578,0.9911423595781901,0.004961325678527549,False
5,0.95,lab_15bp,0.37615737967471236,0.3957999666701463,-0.01964258699543392,0.32377023161710977,0.3488629077734293,True,0.5509368505699523,0.5939478325969956,0.9911423595781901,0.004961325678527549,False
10,0.5,low_2bp,0.41901255683277955,0.3968873029761583,0.02212525385662123,0.2696027217345751,0.3488629077734229,True,0.581913171620797,0.5960287735653578,0.8869330599590224,0.015487544998234792,True
10,0.5,lab_15bp,0.3968438376363853,0.3957999666701463,0.0010438709662390355,0.2711747809080528,0.3488629077734293,True,0.5481388839969161,0.5939478325969956,0.8869330599590224,0.015487544998234792,True
10,0.7,low_2bp,0.3704429436079472,0.3968873029761583,-0.0264443593682111,0.30544205183161294,0.3488629077734229,True,0.52759009653532,0.5960287735653578,0.9473343552832905,0.0113155283548561,False
10,0.7,lab_15bp,0.3557891753405091,0.3957999666701463,-0.040010791329637196,0.30649599013464285,0.3488629077734293,True,0.5036957138870708,0.5939478325969956,0.9473343552832905,0.0113155283548561,False
10,0.85,low_2bp,0.36907777714357165,0.3968873029761583,-0.027809525832586668,0.32432606613147674,0.3488629077734229,True,0.5348775679143765,0.5960287735653578,0.9795154561970494,0.00705171938581909,False
10,0.85,lab_15bp,0.3604409672917598,0.3957999666701463,-0.03535899937838649,0.32486836961274795,0.3488629077734293,True,0.5198703730744123,0.5939478325969956,0.9795154561970494,0.00705171938581909,False
10,0.95,low_2bp,0.39831966913916655,0.3968873029761583,0.0014323661630082363,0.32826435727121467,0.3488629077734229,True,0.5921154274959732,0.5960287735653578,0.9909807920209619,0.0033915025205111513,True
10,0.95,lab_15bp,0.3942677574572527,0.3957999666701463,-0.0015322092128935982,0.3285704720653376,0.3488629077734293,True,0.5846139788309441,0.5939478325969956,0.9909807920209619,0.0033915025205111513,False
22,0.5,low_2bp,0.4246480258269314,0.3968873029761583,0.02776072285077308,0.2844784133549357,0.3488629077734229,True,0.5955999390202622,0.5960287735653578,0.8920401221878165,0.008739727840533236,True
22,0.5,lab_15bp,0.41235346815138396,0.3957999666701463,0.016553501481237687,0.285338665704227,0.3488629077734293,True,0.5762876619225832,0.5939478325969956,0.8920401221878165,0.008739727840533236,True
22,0.7,low_2bp,0.3822902652044636,0.3968873029761583,-0.014597037771694743,0.3214384972971729,0.3488629077734229,True,0.551057028598432,0.5960287735653578,0.954289057827342,0.006879241483912267,False
22,0.7,lab_15bp,0.37355463663491,0.3957999666701463,-0.022245330035236266,0.3220169100314013,0.3488629077734293,True,0.5362638355298015,0.5939478325969956,0.954289057827342,0.006879241483912267,False
22,0.85,low_2bp,0.3819325944152751,0.3968873029761583,-0.014954708560883212,0.3342131250086756,0.3488629077734229,True,0.5600613774707413,0.5960287735653578,0.9837388351931128,0.004154067046596131,False
22,0.85,lab_15bp,0.3769152521900804,0.3957999666701463,-0.0188847144800659,0.33444131083905726,0.3488629077734293,True,0.551060729778621,0.5939478325969956,0.9837388351931128,0.004154067046596131,False
22,0.95,low_2bp,0.4000236205527718,0.3968873029761583,0.0031363175766134788,0.3380512627294728,0.3488629077734229,True,0.5969407383448855,0.5960287735653578,0.9925234812944445,0.00214050391825001,True
22,0.95,lab_15bp,0.3974871872212743,0.3957999666701463,0.0016872205511280214,0.3382024206999615,0.3488629077734293,True,0.5921903816911334,0.5939478325969956,0.9925234812944445,0.00214050391825001,True
