strategy,cost,rt_bps,strat_sharpe,bh_sharpe,edge,strat_maxDD,bh_maxDD,strat_totret,bh_totret,n_trades,trades/day,exposure,beats_bh
"ema_crossover(12,26)",frictionless,0.0,-0.4233643520495225,0.39705407862154823,-0.8204184306710707,0.3993471609512777,0.3488629077734288,-0.23439676564881884,0.5963489183293718,7183,6.700559701492537,0.5148880170219047,False
"ema_crossover(12,26)",ultra_low_1bp,2.0,-2.1605928290066467,0.3969707616535523,-2.557563590660199,0.8443763450133297,0.3488629077734302,-0.8179713547768753,0.5961892954093759,7183,6.700559701492537,0.5148880170219047,False
"ema_crossover(12,26)",low_2bp,4.0,-3.8931057572898213,0.39688744600680753,-4.289993203296629,0.9620473014710139,0.34886290777343226,-0.9567211499078072,0.5960296964301541,7183,6.700559701492537,0.5148880170219047,False
"ema_crossover(12,26)",mid_5bp,10.0,-9.019915272350158,0.39663750709108453,-9.416552779441242,0.9994543729349389,0.3488629077734289,-0.999418320704862,0.5955510430857864,7183,6.700559701492537,0.5148880170219047,False
"ema_crossover(12,26)",high_10bp,20.0,-17.101606982493742,0.3962209695611915,-17.497827952054934,0.9999995612631313,0.34886290777342716,-0.9999995580601991,0.5947537658753506,7183,6.700559701492537,0.5148880170219047,False
"ema_crossover(12,26)",lab_default_15bp,30.0,-24.30038768032707,0.39580451926245896,-24.69619219958953,0.999999999666664,0.3488629077734266,-0.9999999996642305,0.5939571855726715,7183,6.700559701492537,0.5148880170219047,False
"mean_reversion(20,2,.5)",frictionless,0.0,0.7949090766963669,0.39705407862154823,0.39785499807481867,0.17957776644355378,0.3488629077734288,0.8315084254982501,0.5963489183293718,7981,7.444962686567164,0.19815514039381604,True
"mean_reversion(20,2,.5)",ultra_low_1bp,2.0,-1.819393308055806,0.3969707616535523,-2.2163640697093583,0.6606572373754264,0.3488629077734302,-0.6288170078862858,0.5961892954093759,7981,7.444962686567164,0.19815514039381604,False
"mean_reversion(20,2,.5)",low_2bp,4.0,-4.422266188975128,0.39688744600680753,-4.8191536349819355,0.9281020767152278,0.34886290777343226,-0.9247741311929683,0.5960296964301541,7981,7.444962686567164,0.19815514039381604,False
"mean_reversion(20,2,.5)",mid_5bp,10.0,-12.035683137940913,0.39663750709108453,-12.432320645031997,0.9993745611758039,0.3488629077734289,-0.9993738122193271,0.5955510430857864,7981,7.444962686567164,0.19815514039381604,False
"mean_reversion(20,2,.5)",high_10bp,20.0,-23.463416917464098,0.3962209695611915,-23.85963788702529,0.999999786057385,0.34886290777342716,-0.9999997859083037,0.5947537658753506,7981,7.444962686567164,0.19815514039381604,False
"mean_reversion(20,2,.5)",lab_default_15bp,30.0,-32.718850848492444,0.39580451926245896,-33.11465536775491,0.9999999999268172,0.3488629077734266,-0.999999999926803,0.5939571855726715,7981,7.444962686567164,0.19815514039381604,False
naive_reversal_1bar,frictionless,0.0,0.3990459233513626,0.39705407862154823,0.0019918447298143405,0.3546212753960369,0.3488629077734288,0.5134687773497457,0.5963489183293718,102512,95.6268656716418,0.48556212872200427,False
naive_reversal_1bar,ultra_low_1bp,2.0,-24.020441701174498,0.3969707616535523,-24.41741246282805,0.9999999981188809,0.3488629077734302,-0.9999999981122795,0.5961892954093759,102512,95.6268656716418,0.48556212872200427,False
naive_reversal_1bar,low_2bp,4.0,-48.0018688344629,0.39688744600680753,-48.398756280469705,1.0,0.34886290777343226,-1.0,0.5960296964301541,102512,95.6268656716418,0.48556212872200427,False
naive_reversal_1bar,mid_5bp,10.0,-113.74286104454929,0.39663750709108453,-114.13949855164037,1.0,0.3488629077734289,-1.0,0.5955510430857864,102512,95.6268656716418,0.48556212872200427,False
