cost,rt_bps,AAPL_OOS_edge,univ_median_edge,univ_median_DDreduction,n_pos_edge
frictionless,0.0,0.2103554735707499,-0.07119679256049033,0.0028737423903752446,2
ultra_low_1bp,2.0,0.20951511371297082,-0.07162894226742716,0.0028447234493579054,2
low_2bp,4.0,0.20867474505982553,-0.0720610925937929,0.002815705868769891,2
mid_5bp,10.0,0.20615358651984883,-0.07335754724000154,0.0027286612888436645,2
high_10bp,20.0,0.20195148150146947,-0.07551831691061611,0.0025836141914512556,2
lab_default_15bp,30.0,0.1977491609117633,-0.07767910095405423,0.0024386010903685307,2
