,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-37279800.0,-67678807.428276,-73449354.832825,-150774140.354957
Tax Rate For Calcs,0.1251,0.146175,0.153339,0.196833
Total Unusual Items,-298000000.0,-463000000.0,-479000000.0,-766000000.0
Total Unusual Items Excluding Goodwill,-298000000.0,-463000000.0,-479000000.0,-766000000.0
Net Income From Continuing Operation Net Minority Interest,335577000000.0,332653000000.0,324727000000.0,302513000000.0
Reconciled Depreciation,30230000000.0,29081000000.0,28482000000.0,27295000000.0
Net Interest Income,589882000000.0,617233000000.0,643669000000.0,605420000000.0
Interest Expense,651675000000.0,630133000000.0,526904000000.0,451914000000.0
Interest Income,1241557000000.0,1247366000000.0,1170573000000.0,1057334000000.0
Normalized Income,335837720200.0,333048321192.5717,325132550645.1672,303128225859.645
Net Income From Continuing And Discontinued Operation,335577000000.0,332653000000.0,324727000000.0,302513000000.0
Diluted Average Shares,256165648855.0,253933587786.0,253692968750.0,254212605042.0
Basic Average Shares,256165648855.0,253933587786.0,253692968750.0,254212605042.0
Diluted EPS,1.31,1.31,1.28,1.19
Basic EPS,1.31,1.31,1.28,1.19
Net Income Common Stockholders,335577000000.0,332653000000.0,324727000000.0,302513000000.0
Net Income,335577000000.0,332653000000.0,324727000000.0,302513000000.0
Minority Interests,-705000000.0,193000000.0,-136000000.0,-1415000000.0
Net Income Including Noncontrolling Interests,336282000000.0,332460000000.0,324863000000.0,303928000000.0
Net Income Continuous Operations,336282000000.0,332460000000.0,324863000000.0,303928000000.0
Tax Provision,48095000000.0,56917000000.0,58836000000.0,74484000000.0
Pretax Income,384377000000.0,389377000000.0,383699000000.0,378412000000.0
Other Non Operating Income Expenses,105000000.0,150000000.0,74000000.0,-364000000.0
Special Income Charges,-298000000.0,-463000000.0,-479000000.0,-766000000.0
Write Off,298000000.0,463000000.0,479000000.0,766000000.0
Gain On Sale Of Security,26184000000.0,12121000000.0,1027000000.0,28869000000.0
Operating Expense,244881000000.0,243272000000.0,245121000000.0,276755000000.0
Other Operating Expenses,30569000000.0,33184000000.0,31902000000.0,66891000000.0
Depreciation And Amortization In Income Statement,,,,24055000000.0
Depreciation Income Statement,,,,24055000000.0
Selling General And Administration,95051000000.0,93680000000.0,102452000000.0,91236000000.0
General And Administrative Expense,95051000000.0,93680000000.0,102452000000.0,91236000000.0
Rent And Landing Fees,3882000000.0,4167000000.0,,4164000000.0
Total Revenue,749567000000.0,768585000000.0,782566000000.0,822643000000.0
Operating Revenue,749567000000.0,768585000000.0,782566000000.0,822643000000.0
