ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
AAPL,1980-12-12 00:00:00-05:00,0.0983895063400268,0.0988172630624208,0.0983895063400268,0.0983895063400268,469033600,0.0,0.0
AAPL,1980-12-15 00:00:00-05:00,0.0936842003608196,0.0936842003608196,0.0932564437389373,0.0932564437389373,175884800,0.0,0.0
AAPL,1980-12-16 00:00:00-05:00,0.0868393835793985,0.0868393835793985,0.0864116325974464,0.0864116325974464,105728000,0.0,0.0
AAPL,1980-12-17 00:00:00-05:00,0.0885503366589546,0.0889780930515904,0.0885503366589546,0.0885503366589546,86441600,0.0,0.0
AAPL,1980-12-18 00:00:00-05:00,0.0911177024245262,0.0915454534506831,0.0911177024245262,0.0911177024245262,73449600,0.0,0.0
AAPL,1980-12-19 00:00:00-05:00,0.0966784805059433,0.0971062371824659,0.0966784805059433,0.0966784805059433,48630400,0.0,0.0
AAPL,1980-12-22 00:00:00-05:00,0.1013837605714798,0.1018122825015029,0.1013837605714798,0.1013837605714798,37363200,0.0,0.0
AAPL,1980-12-23 00:00:00-05:00,0.1056621000170707,0.1060898567789278,0.1056621000170707,0.1056621000170707,46950400,0.0,0.0
AAPL,1980-12-24 00:00:00-05:00,0.1112228110432624,0.1116505674489508,0.1112228110432624,0.1112228110432624,48003200,0.0,0.0
AAPL,1980-12-26 00:00:00-05:00,0.1214896887540817,0.1219174452554421,0.1214896887540817,0.1214896887540817,55574400,0.0,0.0
AAPL,1980-12-29 00:00:00-05:00,0.1232006475329399,0.1236284038405485,0.1232006475329399,0.1232006475329399,93161600,0.0,0.0
AAPL,1980-12-30 00:00:00-05:00,0.1206341756323438,0.1206341756323438,0.1202064305543899,0.1202064305543899,68880000,0.0,0.0
AAPL,1980-12-31 00:00:00-05:00,0.1172121876498176,0.1172121876498176,0.116784431040287,0.116784431040287,35750400,0.0,0.0
AAPL,1981-01-02 00:00:00-05:00,0.1180676445364952,0.118923157430145,0.1180676445364952,0.1180676445364952,21660800,0.0,0.0
AAPL,1981-01-05 00:00:00-05:00,0.1159288656806903,0.1159288656806903,0.115501120686531,0.115501120686531,35728000,0.0,0.0
AAPL,1981-01-06 00:00:00-05:00,0.1107950994082427,0.1107950994082427,0.1103673428297042,0.1103673428297042,45158400,0.0,0.0
AAPL,1981-01-07 00:00:00-05:00,0.1060898567789278,0.1060898567789278,0.1056621000170707,0.1056621000170707,55686400,0.0,0.0
