ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
MA,2006-05-25 00:00:00-04:00,3.662179781219677,4.184699028382718,3.653092278958636,4.180155277252197,395343000,0.0,0.0
MA,2006-05-26 00:00:00-04:00,4.207417026291636,4.247400819872444,4.008404988616749,4.082921028137207,103044000,0.0,0.0
MA,2006-05-30 00:00:00-04:00,4.086556373776465,4.087465037326757,3.8939054016880426,3.9984095096588135,49898000,0.0,0.0
MA,2006-05-31 00:00:00-04:00,4.030215772523452,4.1219973107012,4.030215772523452,4.083830833435059,30002000,0.0,0.0
MA,2006-06-01 00:00:00-04:00,4.082921637147484,4.37098880651252,4.080195212946345,4.317373752593994,62344000,0.0,0.0
MA,2006-06-02 00:00:00-04:00,4.407336361181005,4.4255109271384505,4.251943670584302,4.270118236541748,37253000,0.0,0.0
MA,2006-06-05 00:00:00-04:00,4.275570338999249,4.475490983320827,4.271026589511077,4.466403484344482,37188000,0.0,0.0
MA,2006-06-06 00:00:00-04:00,4.541828773628641,4.600896224930973,4.343725862584741,4.389162063598633,49045000,0.0,0.0
MA,2006-06-07 00:00:00-04:00,4.391888220461001,4.398249296883241,4.248309019336388,4.32555103302002,25013000,0.0,0.0
MA,2006-06-08 00:00:00-04:00,4.325551428068263,4.336455821990967,4.134718251340788,4.336455821990967,34439000,0.0,0.0
MA,2006-06-09 00:00:00-04:00,4.434600031821572,4.434600031821572,4.3328223389595815,4.341909408569336,13372000,0.0,0.0
MA,2006-06-12 00:00:00-04:00,4.361900855310113,4.384618741376057,4.207416803492644,4.266484260559082,14546000,0.0,0.0
MA,2006-06-13 00:00:00-04:00,4.198328222372926,4.30283229131887,4.116542900280221,4.1347174644470215,16716000,0.0,0.0
MA,2006-06-14 00:00:00-04:00,4.080195444251149,4.130175846489513,4.038393881763871,4.1001877784729,15971000,0.0,0.0
MA,2006-06-15 00:00:00-04:00,4.125631062715049,4.191059597776199,4.1010954162316064,4.1756110191345215,16500000,0.0,0.0
MA,2006-06-16 00:00:00-04:00,4.1347185746021085,4.18015478056065,4.08928193532766,4.091099262237549,12280000,0.0,0.0
MA,2006-06-19 00:00:00-04:00,4.130174459024146,4.130174459024146,4.007495803813908,4.029305458068848,11509000,0.0,0.0
MA,2006-06-20 00:00:00-04:00,4.065655518836541,4.089282505221432,3.950247010972791,4.000226974487305,23792000,0.0,0.0
MA,2006-06-21 00:00:00-04:00,4.000225724582396,4.169249230790092,3.99840839798708,4.116543292999268,18063000,0.0,0.0
MA,2006-06-22 00:00:00-04:00,4.216504175117731,4.266484568022802,4.169250206059228,4.234678745269775,13038000,0.0,0.0
MA,2006-06-23 00:00:00-04:00,4.270118914338001,4.355539777881104,4.259214086369442,4.266484260559082,11612000,0.0,0.0
MA,2006-06-26 00:00:00-04:00,4.266483051794622,4.316462993621826,4.21922909952929,4.316462993621826,8565000,0.0,0.0
MA,2006-06-27 00:00:00-04:00,4.31646501289204,4.364627650875456,4.293746689318886,4.299199104309082,9826000,0.0,0.0
MA,2006-06-28 00:00:00-04:00,4.257396471497799,4.307376424104355,4.225591086504161,4.267392635345459,8756000,0.0,0.0
MA,2006-06-29 00:00:00-04:00,4.2664851455579775,4.370080166116236,4.2664851455579775,4.361901760101318,14470000,0.0,0.0
MA,2006-06-30 00:00:00-04:00,4.330095933042877,4.361901760101318,4.234679318499536,4.361901760101318,25964000,0.0,0.0
MA,2006-07-03 00:00:00-04:00,4.352813966886611,4.36190146924477,4.253762704415265,4.298290252685547,7029000,0.0,0.0
