ticker,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
601988.SS,2006-07-05 00:00:00+08:00,1.570483226227395,1.5940995233559498,1.4799541356729202,1.4917620420455933,1820928971,0.0,0.0
601988.SS,2006-07-06 00:00:00+08:00,1.4760181869479545,1.4799542853056658,1.4524018874316418,1.464209794998169,384601301,0.0,0.0
601988.SS,2006-07-07 00:00:00+08:00,1.464209807857065,1.4681459062493434,1.4405935081333503,1.4484657049179075,216581343,0.0,0.0
601988.SS,2006-07-10 00:00:00+08:00,1.448465872617906,1.464209977379879,1.440593674921924,1.4563381671905518,116367969,0.0,0.0
601988.SS,2006-07-11 00:00:00+08:00,1.4602742054841025,1.48782621814087,1.4445297138683648,1.476018309593201,140030454,0.0,0.0
601988.SS,2006-07-12 00:00:00+08:00,1.4720822719525244,1.4720822719525244,1.4563381671905518,1.4563381671905518,103981465,0.0,0.0
601988.SS,2006-07-13 00:00:00+08:00,1.456338201193689,1.456338201193689,1.4130416941148674,1.4169774055480957,267362973,0.0,0.0
601988.SS,2006-07-14 00:00:00+08:00,1.4051694160038717,1.4287857192929845,1.3972972180308334,1.4130417108535769,122812512,0.0,0.0
601988.SS,2006-07-17 00:00:00+08:00,1.409105658531189,1.4130417576480565,1.3972972643039163,1.409105658531189,69678076,0.0,0.0
601988.SS,2006-07-18 00:00:00+08:00,1.4130417822469616,1.4130417822469616,1.3933615769500332,1.4051694869995115,59093812,0.0,0.0
601988.SS,2006-07-19 00:00:00+08:00,1.4051695251587255,1.4051695251587255,1.369745309664939,1.377617120742798,98301390,0.0,0.0
601988.SS,2006-07-20 00:00:00+08:00,1.3736808562182403,1.3854891526747235,1.3736808562182403,1.381553053855896,54897309,0.0,0.0
601988.SS,2006-07-21 00:00:00+08:00,1.381553053855896,1.3972971585012182,1.3736808562182403,1.381553053855896,62595187,0.0,0.0
601988.SS,2006-07-24 00:00:00+08:00,1.3697454461172869,1.3736811582949378,1.357937050187438,1.3618731498718262,68933257,0.0,0.0
601988.SS,2006-07-25 00:00:00+08:00,1.3618731026463171,1.373681110659964,1.3618731026463171,1.365809202194214,54525998,0.0,0.0
601988.SS,2006-07-26 00:00:00+08:00,1.3658090573920472,1.3658090573920472,1.3500646608696714,1.3579368591308594,76816387,0.0,0.0
601988.SS,2006-07-27 00:00:00+08:00,1.357936742056915,1.3933614374247942,1.3540006432656704,1.369745135307312,95575372,0.0,0.0
601988.SS,2006-07-28 00:00:00+08:00,1.369745253399312,1.369745253399312,1.3500646608696714,1.3579368591308594,61072774,0.0,0.0
601988.SS,2006-07-31 00:00:00+08:00,1.3540005962049253,1.357936694859364,1.314640190920493,1.32251238822937,92210195,0.0,0.0
601988.SS,2006-08-01 00:00:00+08:00,1.3225125757904723,1.3225125757904723,1.2988962711445111,1.3067681789398191,91276671,0.0,0.0
601988.SS,2006-08-02 00:00:00+08:00,1.2988961325732449,1.3225124346997277,1.2910239349877546,1.3185763359069824,105825981,0.0,0.0
601988.SS,2006-08-03 00:00:00+08:00,1.3067680857208357,1.3185763825164742,1.3028322774189534,1.3146402835845947,52534999,0.0,0.0
601988.SS,2006-08-04 00:00:00+08:00,1.3146403461479212,1.3185764452671185,1.2910240420627486,1.2949601411819458,46273396,0.0,0.0
601988.SS,2006-08-07 00:00:00+08:00,1.2910241531157625,1.2910241531157625,1.2674078469991312,1.2713439464569092,59470239,0.0,0.0
601988.SS,2006-08-08 00:00:00+08:00,1.2713438117944424,1.2910240163687416,1.2713438117944424,1.2870879173278809,45857369,0.0,0.0
601988.SS,2006-08-09 00:00:00+08:00,1.2870879588070905,1.291024057974801,1.2752799519339744,1.2792160511016846,37244337,0.0,0.0
