,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,523730000000.0,787298000000.0,-49593000000.0,813085000000.0,
Repayment Of Debt,-1263876000000.0,-1077585000000.0,-896096000000.0,-869059000000.0,
Issuance Of Debt,1497728000000.0,1316278000000.0,1012066000000.0,1005299000000.0,
Capital Expenditure,-27236000000.0,-29148000000.0,-27738000000.0,-30173000000.0,
End Cash Position,2368929000000.0,2516725000000.0,2091466000000.0,1975631000000.0,
Beginning Cash Position,2516725000000.0,2091466000000.0,1975631000000.0,1494868000000.0,
Effect Of Exchange Rate Changes,-4636000000.0,28379000000.0,96367000000.0,-41278000000.0,
Changes In Cash,-143160000000.0,396880000000.0,19468000000.0,522041000000.0,
Financing Cash Flow,111860000000.0,119862000000.0,53047000000.0,74344000000.0,
Net Other Financing Charges,3525000000.0,1356000000.0,49236000000.0,37765000000.0,
Cash Dividends Paid,-118423000000.0,-112899000000.0,-106458000000.0,-22879000000.0,
Net Issuance Payments Of Debt,233852000000.0,238693000000.0,115970000000.0,136240000000.0,
Net Long Term Debt Issuance,233852000000.0,238693000000.0,115970000000.0,136240000000.0,
Long Term Debt Payments,-1263876000000.0,-1077585000000.0,-896096000000.0,-869059000000.0,
Long Term Debt Issuance,1497728000000.0,1316278000000.0,1012066000000.0,1005299000000.0,
Investing Cash Flow,-805986000000.0,-539428000000.0,-11724000000.0,-395561000000.0,
Net Other Investing Changes,2535000000.0,,,,
Net Investment Purchase And Sale,-791085000000.0,-513989000000.0,5039000000.0,-372549000000.0,
Sale Of Investment,5018614000000.0,3818475000000.0,3721674000000.0,3257528000000.0,
Purchase Of Investment,-5809699000000.0,-4332464000000.0,-3716635000000.0,-3630077000000.0,
Net Business Purchase And Sale,-1107000000.0,-1844000000.0,-1875000000.0,-620000000.0,
Sale Of Business,23000000.0,161000000.0,842000000.0,1620000000.0,
Purchase Of Business,-1130000000.0,-2005000000.0,-2717000000.0,-2240000000.0,
Net PPE Purchase And Sale,-16329000000.0,-23595000000.0,-14888000000.0,-22392000000.0,
Sale Of PPE,10907000000.0,5553000000.0,12850000000.0,7781000000.0,
Purchase Of PPE,-27236000000.0,-29148000000.0,-27738000000.0,-30173000000.0,
Capital Expenditure Reported,,,,,-39622000000.0
Operating Cash Flow,550966000000.0,816446000000.0,-21855000000.0,843258000000.0,
Change In Working Capital,339593000000.0,581818000000.0,-285458000000.0,613255000000.0,
Change In Other Current Assets,-851000000.0,-11133000000.0,-12580000000.0,6643000000.0,
Change In Payable,2117313000000.0,3116281000000.0,1829350000000.0,1988818000000.0,
Change In Receivables,-1776869000000.0,-2523330000000.0,-2102228000000.0,-1382206000000.0,
Other Non Cash Items,-160613000000.0,-146799000000.0,-120506000000.0,-112009000000.0,
Provisionand Write Offof Assets,102722000000.0,106562000000.0,103959000000.0,104220000000.0,
Depreciation And Amortization,29221000000.0,30416000000.0,28868000000.0,28792000000.0,
Amortization Cash Flow,7655000000.0,7768000000.0,6678000000.0,6364000000.0,
Depreciation,21566000000.0,22648000000.0,22190000000.0,22428000000.0,
Gain Loss On Investment Securities,-10041000000.0,-430000000.0,15433000000.0,-17558000000.0,
Gain Loss On Sale Of PPE,-2635000000.0,-1492000000.0,-876000000.0,-781000000.0,
Net Income From Continuing Operations,252719000000.0,246371000000.0,236725000000.0,227339000000.0,
Cash Flowsfromusedin Operating Activities Direct,550966000000.0,816446000000.0,-21855000000.0,843258000000.0,
Classesof Cash Payments,-2747270000000.0,-3390433000000.0,-2713640000000.0,-2285375000000.0,
Other Cash Paymentsfrom Operating Activities,-195767000000.0,-133491000000.0,-175178000000.0,-237113000000.0,
Paymentson Behalfof Employees,-110291000000.0,-103653000000.0,-95968000000.0,-93998000000.0,
Classesof Cash Receiptsfrom Operating Activities,3298236000000.0,4206879000000.0,2691785000000.0,3128633000000.0,
Other Cash Receiptsfrom Operating Activities,218340000000.0,216196000000.0,242330000000.0,174646000000.0,
